date,value
2010-07-29,1
2009-07-09,1
2009-01-15,1
2009-05-14,1
2009-06-15,1
2009-01-15,1
2009-10-28,1
2009-10-15,1
2010-05-13,1
2010-02-02,1
2009-01-23,1
2009-07-21,1
2009-03-04,1
2009-04-23,1
2009-07-28,1
2010-06-04,1
2009-05-20,1
2009-04-01,1
2011-06-22,1
2011-05-23,1
2012-04-26,1
2011-02-17,1
2011-05-12,1
2011-05-25,1
2011-08-01,1
2011-02-10,1
2012-06-04,1
2012-06-25,1
2011-11-15,1
2012-10-12,1
2012-06-21,1
2011-04-14,1
2014-01-16,1
2013-10-30,1
2014-05-06,1
2014-03-27,1
2014-06-02,1
2013-02-13,1
2014-06-23,1
2014-02-03,1
2014-04-09,1
2014-07-09,1
2014-06-02,1
2013-04-10,1
2013-04-10,1
2013-11-14,1
2014-05-07,1
2014-03-26,1
2014-04-07,1
2013-04-25,1
2015-03-03,1
2016-05-18,1
2015-04-23,1
2015-03-11,1
2015-11-05,1
2016-04-14,1
2015-10-01,1
2015-01-07,1
2016-07-07,1
2015-07-29,1
2016-02-10,1
2015-06-03,1
2015-03-11,1
2016-03-03,1
2015-03-11,1
2016-03-09,1
2015-06-25,1
2015-01-20,1
2015-01-12,1
2016-07-06,1
2015-10-08,1
2016-05-19,1
2015-06-25,1
2015-03-19,1
2015-10-09,1
2017-05-25,1
2017-03-22,1
2018-05-29,1
2017-03-22,1
2017-03-22,1
2017-06-16,1
2017-02-15,1
2018-03-05,1
2017-02-07,1
2017-05-25,1
2017-04-05,1
2017-07-13,1
2020-07-22,1
2019-03-29,1
2019-01-29,1
2020-07-13,1
2019-02-04,1
2019-11-08,1
2019-05-15,1
2020-10-30,1
2020-09-16,1
2020-10-09,1
2019-03-07,1
2020-05-06,1
2020-07-20,1
2019-10-23,1
2020-03-25,1
2019-11-08,1
2019-05-09,1
2020-01-28,1
2020-05-21,1
2020-09-01,1
2019-12-18,1
2019-09-19,1
2020-06-23,1
2020-05-21,1
2019-03-14,1
2019-11-08,1
