date,value
2010-08-02,1
2009-07-22,1
2009-02-23,1
2011-03-02,1
2011-02-28,1
2012-04-26,1
2011-05-05,1
2012-06-14,1
2011-04-11,1
2011-02-08,1
2011-03-09,1
2011-09-29,1
2013-04-17,1
2013-04-17,1
2014-09-18,1
2014-05-30,1
2013-04-15,1
2014-06-02,1
2013-02-07,1
2014-05-08,1
2014-05-30,1
2014-09-15,1
2015-06-25,1
2015-10-26,1
2016-07-22,1
2016-03-15,1
2015-06-25,1
2015-07-09,1
2015-10-05,1
2015-07-29,1
2016-04-14,1
2015-10-01,1
2016-06-09,1
2016-05-26,1
2015-07-22,1
2015-06-25,1
2016-03-09,1
2016-01-05,1
2015-07-10,1
2015-03-03,1
2015-09-29,1
2018-04-19,1
2017-01-12,1
2017-01-12,1
2017-10-26,1
2017-04-03,1
2018-09-28,1
2017-02-28,1
2017-02-15,1
2018-10-02,1
2017-04-06,1
2017-11-09,1
2018-04-19,1
2017-01-03,1
2017-02-15,1
2017-11-03,1
2017-12-06,1
2017-11-06,1
2017-07-13,1
2018-03-06,1
2020-07-15,1
2019-07-24,1
2020-11-30,1
2019-08-20,1
2019-04-11,1
2020-07-22,1
2020-01-30,1
2019-10-15,1
2020-07-02,1
2019-05-20,1
2020-04-28,1
2019-06-27,1
2019-04-09,1
2019-06-25,1
2019-02-27,1
2019-05-16,1
2019-07-25,1
2020-03-23,1
2019-10-23,1
2019-07-30,1
2020-05-12,1
2019-03-07,1
2019-01-08,1
2019-09-25,1
2019-08-20,1
2020-09-29,1
2019-10-23,1
