date,value
2009-03-05,1
2009-09-17,1
2009-01-14,1
2009-03-23,1
2009-01-16,1
2009-10-29,1
2009-01-06,1
2010-05-13,1
2009-06-04,1
2010-04-15,1
2009-07-14,1
2009-10-19,1
2009-06-23,1
2010-03-17,1
2009-10-29,1
2009-02-09,1
2009-01-13,1
2010-04-14,1
2009-05-21,1
2009-01-26,1
2012-06-27,1
2011-02-11,1
2011-10-11,1
2012-03-29,1
2011-03-17,1
2011-03-10,1
2011-10-06,1
2011-01-25,1
2012-06-21,1
2013-02-13,1
2013-11-12,1
2013-03-14,1
2013-05-16,1
2014-05-20,1
2013-08-01,1
2013-12-19,1
2013-09-18,1
2013-04-18,1
2013-12-05,1
2014-02-10,1
2014-02-27,1
2014-03-26,1
2013-05-15,1
2013-01-22,1
2015-02-10,1
2015-11-16,1
2016-03-07,1
2016-01-28,1
2016-01-07,1
2015-12-16,1
2016-05-11,1
2016-02-22,1
2015-07-22,1
2015-04-22,1
2016-07-13,1
2015-06-04,1
2015-06-24,1
2016-06-08,1
2015-02-03,1
2015-02-12,1
2015-06-12,1
2018-04-10,1
2017-01-24,1
2017-07-20,1
2017-03-08,1
2017-12-05,1
2018-06-13,1
2017-12-19,1
2017-09-27,1
2018-07-26,1
2017-01-03,1
2018-04-24,1
2017-07-12,1
2017-03-07,1
2018-05-11,1
2018-06-14,1
2017-06-23,1
2018-12-12,1
2019-05-23,1
2019-03-21,1
2019-10-15,1
2020-07-31,1
2019-06-21,1
2020-07-24,1
2020-07-02,1
2019-11-20,1
2019-01-31,1
2019-05-20,1
2019-03-27,1
2019-06-05,1
2019-03-14,1
2020-03-10,1
2019-02-15,1
2019-02-25,1
2020-10-30,1
2020-07-09,1
2019-02-14,1
2020-07-20,1
2020-01-28,1
2019-05-21,1
2020-09-01,1
2019-06-18,1
2019-07-25,1
2020-08-07,1
2020-05-21,1
2020-06-09,1
2020-05-12,1
2019-05-01,1
2019-12-18,1
2019-12-09,1
2019-06-19,1
2020-06-18,1
