date,value
2010-08-02,1
2009-06-26,1
2009-02-26,1
2009-07-09,1
2009-04-02,1
2009-05-14,1
2009-01-14,1
2009-06-15,1
2009-07-22,1
2009-01-15,1
2009-10-28,1
2009-01-23,1
2009-07-21,1
2009-04-23,1
2009-07-28,1
2009-03-16,1
2009-04-01,1
2012-06-19,1
2011-11-09,1
2011-05-25,1
2012-09-21,1
2011-03-03,1
2011-07-20,1
2012-06-14,1
2012-06-25,1
2011-03-09,1
2012-10-12,1
2011-09-29,1
2013-11-14,1
2013-04-17,1
2013-03-05,1
2013-02-13,1
2014-01-16,1
2013-10-30,1
2013-10-28,1
2014-03-27,1
2014-06-26,1
2013-02-13,1
2014-06-23,1
2014-02-03,1
2013-04-25,1
2014-11-17,1
2013-01-24,1
2014-07-10,1
2014-07-09,1
2014-06-02,1
2013-04-25,1
2014-02-10,1
2014-06-18,1
2013-11-15,1
2014-09-15,1
2015-11-18,1
2016-07-22,1
2015-03-11,1
2015-11-16,1
2015-03-25,1
2015-01-21,1
2015-11-05,1
2015-01-13,1
2015-03-25,1
2015-01-07,1
2016-06-09,1
2016-05-11,1
2015-07-29,1
2016-07-14,1
2016-02-10,1
2016-07-14,1
2015-11-10,1
2015-03-11,1
2016-03-03,1
2016-02-09,1
2015-06-25,1
2015-03-11,1
2015-03-23,1
2015-04-22,1
2015-06-22,1
2015-06-25,1
2015-01-20,1
2015-01-12,1
2016-09-15,1
2016-07-06,1
2015-06-24,1
2015-07-10,1
2016-05-19,1
2015-03-25,1
2017-05-25,1
2017-05-01,1
2018-05-29,1
2017-03-22,1
2017-03-30,1
2017-02-14,1
2017-12-05,1
2018-07-26,1
2017-02-15,1
2017-02-15,1
2017-05-03,1
2017-02-07,1
2017-01-03,1
2017-02-06,1
2017-04-06,1
2017-02-15,1
2017-01-03,1
2017-04-28,1
2017-04-05,1
2017-10-31,1
2017-11-30,1
2017-05-03,1
2020-07-15,1
2019-10-28,1
2019-03-29,1
2019-08-09,1
2020-08-07,1
2019-01-29,1
2019-03-13,1
2019-04-09,1
2019-02-04,1
2019-03-14,1
2020-07-22,1
2019-11-08,1
2019-12-05,1
2019-09-12,1
2019-03-07,1
2019-06-19,1
2019-11-08,1
2020-04-28,1
2019-02-07,1
2020-01-28,1
2020-09-01,1
2019-03-13,1
2020-09-01,1
2019-05-09,1
2020-01-28,1
2020-07-09,1
2020-09-30,1
2020-09-14,1
2020-09-01,1
2020-02-12,1
2019-11-21,1
2019-11-21,1
2019-03-28,1
2019-06-05,1
2020-08-25,1
2019-02-07,1
2020-08-18,1
2020-06-18,1
2019-03-14,1
2019-11-08,1
