,geoid,date,value
1,1711,2009-03-25,1
1,1709,2009-03-25,1
1,0651,2009-03-25,1
1,4830,2009-03-25,1
1,3913,2009-03-25,1
1,4207,2009-03-25,1
1,1710,2009-03-25,1
2,False,2009-07-07,1
3,2705,2010-07-30,1
3,5103,2010-07-30,1
6,4829,2009-06-26,1
6,3918,2009-06-26,1
6,0651,2009-06-26,1
6,4820,2009-06-26,1
6,4827,2009-06-26,1
6,4816,2009-06-26,1
6,3502,2009-06-26,1
10,False,2009-04-02,1
10,False,2009-04-02,1
10,False,2009-04-02,1
10,False,2009-04-02,1
10,False,2009-04-02,1
10,False,2009-04-02,1
10,False,2009-04-02,1
15,3620,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
15,False,2009-01-14,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
17,False,2009-05-07,1
18,3620,2010-02-11,1
20,3620,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
20,False,2009-03-24,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
25,False,2009-07-31,1
29,1902,2009-05-14,1
29,5103,2009-05-14,1
29,3615,2009-05-14,1
29,4207,2009-05-14,1
29,3408,2009-05-14,1
29,3625,2009-05-14,1
29,0610,2009-05-14,1
29,False,2009-05-14,1
29,0643,2009-05-14,1
29,0633,2009-05-14,1
29,0606,2009-05-14,1
29,4101,2009-05-14,1
29,0618,2009-05-14,1
29,1313,2009-05-14,1
29,0628,2009-05-14,1
29,0619,2009-05-14,1
29,3612,2009-05-14,1
29,2704,2009-05-14,1
29,5307,2009-05-14,1
29,2003,2009-05-14,1
29,4827,2009-05-14,1
29,4816,2009-05-14,1
29,0637,2009-05-14,1
29,4823,2009-05-14,1
29,0640,2009-05-14,1
29,1701,2009-05-14,1
