geoid,date,value
1711,2009-03-25,1
1709,2009-03-25,1
0651,2009-03-25,1
4830,2009-03-25,1
3913,2009-03-25,1
4207,2009-03-25,1
1710,2009-03-25,1
2705,2010-07-30,1
5103,2010-07-30,1
4829,2009-06-26,1
3918,2009-06-26,1
0651,2009-06-26,1
4820,2009-06-26,1
4827,2009-06-26,1
4816,2009-06-26,1
3502,2009-06-26,1
3620,2009-01-14,1
3620,2010-02-11,1
3620,2009-03-24,1
1902,2009-05-14,1
5103,2009-05-14,1
3615,2009-05-14,1
4207,2009-05-14,1
3408,2009-05-14,1
3625,2009-05-14,1
0610,2009-05-14,1
0643,2009-05-14,1
0633,2009-05-14,1
0606,2009-05-14,1
4101,2009-05-14,1
0618,2009-05-14,1
1313,2009-05-14,1
0628,2009-05-14,1
0619,2009-05-14,1
3612,2009-05-14,1
2704,2009-05-14,1
5307,2009-05-14,1
2003,2009-05-14,1
4827,2009-05-14,1
4816,2009-05-14,1
0637,2009-05-14,1
4823,2009-05-14,1
0640,2009-05-14,1
1701,2009-05-14,1
0638,2009-05-14,1
0405,2009-05-14,1
3711,2009-05-14,1
2613,2009-05-14,1
4204,2009-05-14,1
1804,2009-05-14,1
2102,2009-05-14,1
5600,2009-05-14,1
4904,2009-05-14,1
2501,2009-05-14,1
0807,2009-05-14,1
0803,2009-05-14,1
4209,2009-05-14,1
4502,2009-05-14,1
0622,2009-05-14,1
0619,2009-05-14,1
6000,2009-05-14,1
0632,2009-05-14,1
2502,2009-05-14,1
3605,2009-05-14,1
4218,2009-05-14,1
1218,2009-05-14,1
6900,2009-05-14,1
4600,2009-05-14,1
5305,2009-05-14,1
0642,2009-05-14,1
0645,2009-05-14,1
0626,2009-05-14,1
0631,2009-05-14,1
4001,2009-05-14,1
1305,2009-05-14,1
0611,2009-05-14,1
4815,2009-05-14,1
2505,2009-05-14,1
0606,2009-05-14,1
0905,2009-05-14,1
1709,2009-05-14,1
0630,2009-05-14,1
3918,2009-05-14,1
0613,2009-05-14,1
3624,2009-05-14,1
0643,2009-05-14,1
5303,2009-05-14,1
5502,2009-05-14,1
4829,2009-05-14,1
0618,2009-05-14,1
2708,2009-05-14,1
3613,2009-05-14,1
3610,2009-05-14,1
3607,2009-05-14,1
0633,2009-05-14,1
3406,2009-05-14,1
1501,2009-05-14,1
1901,2009-05-14,1
0624,2009-05-14,1
1214,2009-05-14,1
4828,2009-05-14,1
0801,2009-05-14,1
6600,2009-05-14,1
1903,2009-05-14,1
1205,2009-05-14,1
0403,2009-05-14,1
1704,2009-05-14,1
