geoid,date,value
0624,2009-05-14,1
3302,2009-05-14,1
4830,2009-05-14,1
3604,2009-05-14,1
5307,2009-05-14,1
5504,2009-05-14,1
7200,2009-05-14,1
4207,2009-05-14,1
3712,2009-05-14,1
2613,2009-05-14,1
2502,2009-05-14,1
4218,2009-05-14,1
6900,2009-05-14,1
0642,2009-05-14,1
3619,2009-05-14,1
0403,2009-05-14,1
1209,2009-05-14,1
5111,2009-05-14,1
4817,2009-05-14,1
1304,2009-05-14,1
5508,2009-05-14,1
3629,2009-05-14,1
1709,2009-05-14,1
0613,2009-05-14,1
2601,2009-05-14,1
3601,2009-05-14,1
6600,2009-05-14,1
2507,2009-05-14,1
2903,2009-05-14,1
1807,2009-05-14,1
3609,2009-05-14,1
1707,2009-05-14,1
0627,2009-05-14,1
3503,2009-06-15,1
1711,2009-06-15,1
2302,2009-06-15,1
5105,2009-06-15,1
3502,2009-06-15,1
2701,2009-06-15,1
0401,2009-06-15,1
3708,2009-06-15,1
1601,2009-06-15,1
3503,2009-10-15,1
4209,2009-10-15,1
1217,2009-10-15,1
3707,2009-10-15,1
3703,2009-10-15,1
2611,2009-10-15,1
5305,2009-10-15,1
2613,2009-10-15,1
1221,2009-10-15,1
2402,2009-10-15,1
4823,2009-10-15,1
2302,2009-10-15,1
3603,2009-10-15,1
4104,2009-10-15,1
0902,2009-10-15,1
6600,2009-10-15,1
3613,2009-10-15,1
0603,2009-10-15,1
3621,2009-01-23,1
4218,2009-01-23,1
2502,2009-01-23,1
4101,2009-01-23,1
3301,2009-01-23,1
4207,2009-01-23,1
4823,2009-01-23,1
5108,2009-01-23,1
3713,2009-01-23,1
2302,2009-01-23,1
5307,2009-01-23,1
4219,2009-01-23,1
1218,2009-01-23,1
2510,2009-01-23,1
0803,2009-01-23,1
0807,2009-01-23,1
2501,2009-01-23,1
0804,2009-01-23,1
0401,2009-01-23,1
2908,2009-01-23,1
1802,2009-01-23,1
2510,2009-01-23,1
2611,2009-01-23,1
4830,2009-01-23,1
4818,2009-01-23,1
0643,2009-01-23,1
3913,2009-01-23,1
0613,2009-01-23,1
3409,2009-01-23,1
3613,2009-01-23,1
3503,2009-01-23,1
0801,2009-01-23,1
5109,2009-01-23,1
1312,2009-01-23,1
2708,2009-01-23,1
6600,2009-01-23,1
1903,2009-01-23,1
3412,2009-01-23,1
3622,2009-01-23,1
1717,2009-01-23,1
3619,2009-01-23,1
0403,2009-01-23,1
2407,2009-01-23,1
0902,2009-01-23,1
1807,2009-01-23,1
2903,2009-01-23,1
2507,2009-01-23,1
2504,2009-01-23,1
4823,2009-07-21,1
2510,2009-03-04,1
2502,2009-03-04,1
0105,2009-03-04,1
4207,2009-03-04,1
0628,2009-03-04,1
1701,2009-03-04,1
4823,2009-03-04,1
5105,2009-03-04,1
2003,2009-03-04,1
2302,2009-03-04,1
4830,2009-03-04,1
6900,2009-03-04,1
1217,2009-03-04,1
1601,2009-03-04,1
3707,2009-03-04,1
2401,2009-03-04,1
0401,2009-03-04,1
1809,2009-03-04,1
1808,2009-03-04,1
1802,2009-03-04,1
1213,2009-03-04,1
5309,2009-03-04,1
0200,2009-03-04,1
3603,2009-03-04,1
3622,2009-03-04,1
3601,2009-03-04,1
5502,2009-03-04,1
0613,2009-03-04,1
1709,2009-03-04,1
3613,2009-03-04,1
3624,2009-03-04,1
3503,2009-03-04,1
3915,2009-03-04,1
2612,2009-03-04,1
4203,2009-03-04,1
5111,2009-03-04,1
4103,2009-03-04,1
6600,2009-03-04,1
0904,2009-03-04,1
3619,2009-03-04,1
1704,2009-03-04,1
0403,2009-03-04,1
4809,2009-03-04,1
0651,2009-03-04,1
2404,2009-03-04,1
4214,2009-03-04,1
2407,2009-03-04,1
1807,2009-03-04,1
2903,2009-03-04,1
3610,2009-03-04,1
2504,2009-04-23,1
2707,2009-04-23,1
3605,2009-04-23,1
4808,2009-04-23,1
1205,2009-04-23,1
6000,2009-04-23,1
4831,2009-04-23,1
0649,2009-04-23,1
1903,2009-04-23,1
3402,2009-04-23,1
3707,2009-04-23,1
3000,2009-04-23,1
4701,2009-04-23,1
3102,2009-04-23,1
3201,2009-04-23,1
0605,2009-04-23,1
4207,2009-04-23,1
4706,2009-04-23,1
5109,2009-04-23,1
3629,2009-04-23,1
2601,2009-04-23,1
6600,2009-04-23,1
4201,2009-04-23,1
1807,2009-04-23,1
3619,2009-04-23,1
3622,2009-04-23,1
3302,2009-04-23,1
3412,2009-04-23,1
0619,2009-04-23,1
3410,2009-04-23,1
3409,2009-04-23,1
0623,2009-04-23,1
0804,2009-07-28,1
1807,2011-05-23,1
0643,2011-05-23,1
0403,2011-05-23,1
2502,2011-05-23,1
5108,2011-05-23,1
0613,2011-05-23,1
3620,2011-08-01,1
3620,2011-02-10,1
2701,2012-10-12,1
0610,2012-10-12,1
2301,2012-10-12,1
1217,2012-10-12,1
0625,2011-04-14,1
5309,2011-04-14,1
3620,2014-01-16,1
3501,2014-01-16,1
1502,2014-01-16,1
2601,2013-10-30,1
1502,2013-10-30,1
0650,2013-10-30,1
0401,2013-10-30,1
3302,2013-10-30,1
4218,2013-10-30,1
0652,2013-10-30,1
1203,2013-10-30,1
0652,2014-05-06,1
0402,2014-05-06,1
2601,2014-05-06,1
0607,2014-05-06,1
6600,2014-05-06,1
1205,2014-05-06,1
3701,2014-05-06,1
0629,2014-05-06,1
1807,2014-05-06,1
7800,2014-05-06,1
0627,2014-05-06,1
2505,2014-05-06,1
5111,2014-05-06,1
0653,2014-05-06,1
