geoid,date,value
5507,2009-07-22,1
5507,2009-02-23,1
3620,2011-03-02,1
0624,2011-02-28,1
3604,2011-05-05,1
3605,2011-05-05,1
3601,2011-05-05,1
4103,2011-05-05,1
4201,2011-05-05,1
1205,2011-05-05,1
0624,2011-05-05,1
2507,2011-05-05,1
2903,2011-05-05,1
1214,2011-05-05,1
0627,2011-05-05,1
4401,2011-05-05,1
3609,2011-05-05,1
2901,2011-05-05,1
4709,2011-05-05,1
5111,2011-05-05,1
2613,2011-05-05,1
0902,2011-05-05,1
3614,2011-05-05,1
2407,2011-05-05,1
0653,2011-05-05,1
0801,2011-05-05,1
0903,2011-05-05,1
1221,2011-05-05,1
1710,2011-05-05,1
4214,2011-05-05,1
2404,2011-05-05,1
2705,2011-05-05,1
3616,2011-05-05,1
0618,2011-05-05,1
0620,2011-05-05,1
4202,2011-05-05,1
0651,2011-05-05,1
0603,2011-05-05,1
4809,2011-05-05,1
0403,2011-05-05,1
1704,2011-05-05,1
0644,2011-05-05,1
1501,2011-05-05,1
1220,2011-05-05,1
0904,2011-05-05,1
3412,2011-05-05,1
0617,2011-05-05,1
3603,2011-05-05,1
4818,2011-05-05,1
1702,2011-05-05,1
1304,2011-05-05,1
4402,2011-05-05,1
0613,2011-05-05,1
3617,2011-05-05,1
3612,2011-05-05,1
2505,2011-05-05,1
0606,2011-05-05,1
2704,2011-05-05,1
5307,2011-05-05,1
2502,2011-05-05,1
3605,2011-05-05,1
5108,2011-05-05,1
3610,2011-05-05,1
0632,2011-05-05,1
2501,2011-05-05,1
3409,2011-05-05,1
0407,2011-05-05,1
3410,2011-05-05,1
2301,2011-05-05,1
3704,2011-05-05,1
1705,2011-05-05,1
3613,2011-05-05,1
0637,2011-05-05,1
2202,2011-05-05,1
3409,2011-05-05,1
0640,2011-05-05,1
1701,2011-05-05,1
0638,2011-05-05,1
2403,2011-05-05,1
1709,2011-05-05,1
0628,2011-05-05,1
4213,2011-05-05,1
5103,2011-05-05,1
3615,2011-05-05,1
0630,2011-05-05,1
3408,2011-05-05,1
3625,2011-05-05,1
0614,2011-05-05,1
0613,2011-05-05,1
2506,2011-05-05,1
3620,2011-05-05,1
3610,2011-05-05,1
2503,2011-05-05,1
3607,2011-05-05,1
1223,2011-05-05,1
0643,2011-05-05,1
0633,2011-05-05,1
1224,2011-05-05,1
2103,2011-05-05,1
2105,2011-04-11,1
4830,2011-02-08,1
3000,2011-09-29,1
0901,2013-04-17,1
0902,2013-04-17,1
0903,2013-04-17,1
0905,2013-04-17,1
0904,2013-04-17,1
2103,2013-04-17,1
4401,2014-05-30,1
3609,2014-05-30,1
0403,2014-05-30,1
1304,2014-05-30,1
0647,2014-05-30,1
3613,2014-05-30,1
1701,2014-05-30,1
1224,2014-05-30,1
3602,2013-04-15,1
3401,2013-04-15,1
0402,2013-04-15,1
0637,2013-04-15,1
3903,2013-04-15,1
0634,2013-04-15,1
0607,2013-04-15,1
3601,2013-04-15,1
4103,2013-04-15,1
4101,2013-04-15,1
6600,2013-04-15,1
4201,2013-04-15,1
1901,2013-04-15,1
1205,2013-04-15,1
0626,2013-04-15,1
3701,2013-04-15,1
0624,2013-04-15,1
2507,2013-04-15,1
0629,2013-04-15,1
1000,2013-04-15,1
1807,2013-04-15,1
4217,2013-04-15,1
1214,2013-04-15,1
4820,2013-04-15,1
7800,2013-04-15,1
0627,2013-04-15,1
4401,2013-04-15,1
2505,2013-04-15,1
3609,2013-04-15,1
2901,2013-04-15,1
2905,2013-04-15,1
4506,2013-04-15,1
4709,2013-04-15,1
5111,2013-04-15,1
2613,2013-04-15,1
4705,2013-04-15,1
0616,2013-04-15,1
0902,2013-04-15,1
3614,2013-04-15,1
2407,2013-04-15,1
1707,2013-04-15,1
0653,2013-04-15,1
4104,2013-04-15,1
0801,2013-04-15,1
2406,2013-04-15,1
0903,2013-04-15,1
5301,2013-04-15,1
1221,2013-04-15,1
4835,2013-04-15,1
4214,2013-04-15,1
2404,2013-04-15,1
2705,2013-04-15,1
3616,2013-04-15,1
0618,2013-04-15,1
0905,2013-04-15,1
6000,2013-04-15,1
0620,2013-04-15,1
4202,2013-04-15,1
4208,2013-04-15,1
1711,2013-04-15,1
1222,2013-04-15,1
3911,2013-04-15,1
1502,2013-04-15,1
0603,2013-04-15,1
1209,2013-04-15,1
4809,2013-04-15,1
0403,2013-04-15,1
1704,2013-04-15,1
0644,2013-04-15,1
1501,2013-04-15,1
1220,2013-04-15,1
5310,2013-04-15,1
3626,2013-04-15,1
0904,2013-04-15,1
4815,2013-04-15,1
3412,2013-04-15,1
0617,2013-04-15,1
3204,2013-04-15,1
2405,2013-04-15,1
0602,2013-04-15,1
3603,2013-04-15,1
4818,2013-04-15,1
3608,2013-04-15,1
4830,2013-04-15,1
1304,2013-04-15,1
3909,2013-04-15,1
2509,2013-04-15,1
1702,2013-04-15,1
2504,2013-04-15,1
2605,2013-04-15,1
5306,2013-04-15,1
3302,2013-04-15,1
4402,2013-04-15,1
5302,2013-04-15,1
0901,2013-04-15,1
0613,2013-04-15,1
2609,2013-04-15,1
1305,2013-04-15,1
1703,2013-04-15,1
1902,2013-04-15,1
0619,2013-04-15,1
0647,2013-04-15,1
3617,2013-04-15,1
3501,2013-04-15,1
3503,2013-04-15,1
2508,2013-04-15,1
3624,2013-04-15,1
3612,2013-04-15,1
