geoid,date,value
2705,2010-07-30,1
5103,2010-07-30,1
5111,2009-04-02,1
3620,2009-04-02,1
1219,2009-04-02,1
0646,2009-04-02,1
3612,2009-04-02,1
0901,2009-04-02,1
3622,2009-04-02,1
0904,2009-04-02,1
1220,2009-04-02,1
1209,2009-04-02,1
0903,2009-04-02,1
0902,2009-04-02,1
1807,2009-04-02,1
0613,2009-04-02,1
1709,2009-04-02,1
0905,2009-04-02,1
0627,2009-04-02,1
3620,2009-03-24,1
0613,2009-04-02,1
0903,2009-04-02,1
4401,2009-04-02,1
5502,2009-07-13,1
1707,2009-07-13,1
4401,2009-07-13,1
4207,2009-07-13,1
1218,2009-07-13,1
0905,2011-10-12,1
5103,2011-08-01,1
3401,2011-08-01,1
0637,2011-08-01,1
0628,2011-08-01,1
0650,2011-08-01,1
1302,2011-08-01,1
4101,2011-08-01,1
1205,2011-08-01,1
3701,2011-08-01,1
1000,2011-08-01,1
1807,2011-08-01,1
1214,2011-08-01,1
7800,2011-08-01,1
0627,2011-08-01,1
2613,2011-08-01,1
3609,2011-08-01,1
2901,2011-08-01,1
2905,2011-08-01,1
4506,2011-08-01,1
4709,2011-08-01,1
5111,2011-08-01,1
2613,2011-08-01,1
4828,2011-08-01,1
2407,2011-08-01,1
1707,2011-08-01,1
0653,2011-08-01,1
0801,2011-08-01,1
0903,2011-08-01,1
4214,2011-08-01,1
2404,2011-08-01,1
2705,2011-08-01,1
6000,2011-08-01,1
4202,2011-08-01,1
3911,2011-08-01,1
0603,2011-08-01,1
4809,2011-08-01,1
0403,2011-08-01,1
1704,2011-08-01,1
0644,2011-08-01,1
4804,2011-08-01,1
1220,2011-08-01,1
3626,2011-08-01,1
4815,2011-08-01,1
1502,2011-08-01,1
0617,2011-08-01,1
4818,2011-08-01,1
1702,2011-08-01,1
4830,2011-08-01,1
1304,2011-08-01,1
3703,2011-08-01,1
3910,2011-08-01,1
0901,2011-08-01,1
3914,2011-08-01,1
0613,2011-08-01,1
1305,2011-08-01,1
1902,2011-08-01,1
2502,2011-08-01,1
3605,2011-08-01,1
5504,2011-08-01,1
5108,2011-08-01,1
3610,2011-08-01,1
3410,2011-08-01,1
7200,2011-08-01,1
4219,2011-08-01,1
0802,2011-08-01,1
1705,2011-08-01,1
3613,2011-08-01,1
0637,2011-08-01,1
2202,2011-08-01,1
0640,2011-08-01,1
1701,2011-08-01,1
1313,2011-08-01,1
0107,2011-08-01,1
0630,2011-08-01,1
3408,2011-08-01,1
0613,2011-08-01,1
2802,2011-08-01,1
2506,2011-08-01,1
3620,2011-08-01,1
3610,2011-08-01,1
2503,2011-08-01,1
0643,2011-08-01,1
3712,2011-08-01,1
5000,2011-08-01,1
1224,2011-08-01,1
0606,2011-08-01,1
0614,2012-11-28,1
4401,2012-11-28,1
1221,2012-11-28,1
2705,2012-11-28,1
0618,2012-11-28,1
0403,2012-11-28,1
3412,2012-11-28,1
2509,2012-11-28,1
0613,2012-11-28,1
2502,2012-11-28,1
5108,2012-11-28,1
0905,2012-11-28,1
3610,2012-11-28,1
0640,2012-11-28,1
0638,2012-11-28,1
2503,2012-11-28,1
3607,2012-11-28,1
0614,2013-12-04,1
0637,2013-12-04,1
4103,2013-12-04,1
4401,2013-12-04,1
3614,2013-12-04,1
0653,2013-12-04,1
1221,2013-12-04,1
4214,2013-12-04,1
2705,2013-12-04,1
1712,2013-12-04,1
0618,2013-12-04,1
0905,2013-12-04,1
0620,2013-12-04,1
0403,2013-12-04,1
1704,2013-12-04,1
0617,2013-12-04,1
3603,2013-12-04,1
2509,2013-12-04,1
0613,2013-12-04,1
0647,2013-12-04,1
3618,2013-12-04,1
2704,2013-12-04,1
5307,2013-12-04,1
2502,2013-12-04,1
5108,2013-12-04,1
1218,2013-12-04,1
0652,2013-12-04,1
5502,2013-12-04,1
3613,2013-12-04,1
1709,2013-12-04,1
4213,2013-12-04,1
3301,2013-12-04,1
3408,2013-12-04,1
5309,2013-12-04,1
0641,2013-12-04,1
2503,2013-12-04,1
4833,2013-12-04,1
3607,2013-12-04,1
0633,2013-12-04,1
5103,2013-03-21,1
0106,2013-03-21,1
4806,2013-03-21,1
0637,2013-03-21,1
3903,2013-03-21,1
1302,2013-03-21,1
3601,2013-03-21,1
4103,2013-03-21,1
4101,2013-03-21,1
6600,2013-03-21,1
4201,2013-03-21,1
1205,2013-03-21,1
0626,2013-03-21,1
3701,2013-03-21,1
2507,2013-03-21,1
0629,2013-03-21,1
1000,2013-03-21,1
1807,2013-03-21,1
4217,2013-03-21,1
1214,2013-03-21,1
7800,2013-03-21,1
0627,2013-03-21,1
4401,2013-03-21,1
2505,2013-03-21,1
3609,2013-03-21,1
2901,2013-03-21,1
2905,2013-03-21,1
4709,2013-03-21,1
5111,2013-03-21,1
2613,2013-03-21,1
0902,2013-03-21,1
2407,2013-03-21,1
1707,2013-03-21,1
0653,2013-03-21,1
0801,2013-03-21,1
0903,2013-03-21,1
4214,2013-03-21,1
