geoid,date,value
4829,2009-06-26,1
3918,2009-06-26,1
0651,2009-06-26,1
4820,2009-06-26,1
4827,2009-06-26,1
4816,2009-06-26,1
3502,2009-06-26,1
5101,2009-02-26,1
2707,2009-02-26,1
4101,2009-02-26,1
1219,2009-02-26,1
2701,2009-02-26,1
3201,2009-02-26,1
3502,2009-02-26,1
3625,2009-02-26,1
4207,2009-02-26,1
4823,2009-02-26,1
3410,2009-02-26,1
3610,2009-02-26,1
0105,2009-02-26,1
2502,2009-02-26,1
4802,2009-02-26,1
2001,2009-02-26,1
3708,2009-02-26,1
4501,2009-02-26,1
3101,2009-02-26,1
0503,2009-02-26,1
4600,2009-02-26,1
1205,2009-02-26,1
3620,2009-02-26,1
4218,2009-02-26,1
2302,2009-02-26,1
1217,2009-02-26,1
5307,2009-02-26,1
4103,2009-02-26,1
3601,2009-02-26,1
3201,2009-02-26,1
0609,2009-02-26,1
1304,2009-02-26,1
4817,2009-02-26,1
5111,2009-02-26,1
5109,2009-02-26,1
1312,2009-02-26,1
2708,2009-02-26,1
4706,2009-02-26,1
1903,2009-02-26,1
4201,2009-02-26,1
3604,2009-02-26,1
1308,2009-02-26,1
3612,2009-02-26,1
4830,2009-02-26,1
3412,2009-02-26,1
1220,2009-02-26,1
4820,2009-02-26,1
0651,2009-02-26,1
0653,2009-02-26,1
0902,2009-02-26,1
1205,2009-02-26,1
2504,2009-02-26,1
0624,2009-05-14,1
3302,2009-05-14,1
4830,2009-05-14,1
3604,2009-05-14,1
5307,2009-05-14,1
5504,2009-05-14,1
7200,2009-05-14,1
4207,2009-05-14,1
3712,2009-05-14,1
2613,2009-05-14,1
2502,2009-05-14,1
4218,2009-05-14,1
6900,2009-05-14,1
0642,2009-05-14,1
3619,2009-05-14,1
0403,2009-05-14,1
1209,2009-05-14,1
5111,2009-05-14,1
4817,2009-05-14,1
1304,2009-05-14,1
5508,2009-05-14,1
3629,2009-05-14,1
1709,2009-05-14,1
0613,2009-05-14,1
2601,2009-05-14,1
3601,2009-05-14,1
6600,2009-05-14,1
2507,2009-05-14,1
2903,2009-05-14,1
1807,2009-05-14,1
3609,2009-05-14,1
1707,2009-05-14,1
0627,2009-05-14,1
3620,2009-01-14,1
3503,2009-06-15,1
1711,2009-06-15,1
2302,2009-06-15,1
5105,2009-06-15,1
3502,2009-06-15,1
2701,2009-06-15,1
0401,2009-06-15,1
3708,2009-06-15,1
1601,2009-06-15,1
5507,2009-07-22,1
3621,2009-01-23,1
4218,2009-01-23,1
2502,2009-01-23,1
4101,2009-01-23,1
3301,2009-01-23,1
4207,2009-01-23,1
4823,2009-01-23,1
5108,2009-01-23,1
3713,2009-01-23,1
2302,2009-01-23,1
5307,2009-01-23,1
4219,2009-01-23,1
