date,value
2009-03-25,1
2009-07-07,1
2010-07-30,1
2009-06-26,1
2009-04-02,1
2009-01-14,1
2009-05-07,1
2010-02-11,1
2009-03-24,1
2009-07-31,1
2009-05-14,1
2009-04-02,1
2009-08-06,1
2009-06-04,1
2009-06-03,1
2010-04-15,1
2010-04-15,1
2009-02-12,1
2009-04-02,1
2009-04-23,1
2009-07-22,1
2009-10-22,1
2010-06-29,1
2010-08-04,1
2009-06-04,1
2009-05-20,1
2009-02-09,1
2009-04-30,1
2009-10-15,1
2009-07-13,1
2010-04-14,1
2011-02-17,1
2011-09-15,1
2011-04-08,1
2011-11-03,1
2011-12-13,1
2012-03-29,1
2012-03-29,1
2011-05-09,1
2012-04-27,1
2011-04-08,1
2012-07-18,1
2012-04-26,1
2011-03-09,1
2011-03-10,1
2011-10-06,1
2011-08-01,1
2011-01-25,1
2011-08-01,1
2011-02-08,1
2011-06-30,1
2011-04-06,1
2011-01-25,1
2011-05-11,1
2011-04-15,1
2012-06-21,1
2011-11-30,1
2012-06-21,1
2011-06-23,1
2012-04-27,1
2012-05-18,1
2013-07-18,1
2013-09-18,1
2013-01-28,1
2014-07-23,1
2014-02-24,1
2014-09-18,1
2013-01-24,1
2014-02-25,1
2014-04-29,1
2013-12-12,1
2014-05-06,1
2013-05-16,1
2013-03-21,1
2013-07-16,1
2014-06-26,1
2014-09-17,1
2013-07-31,1
2013-02-07,1
2014-06-23,1
2014-07-30,1
2013-04-09,1
2014-11-17,1
2013-02-07,1
2014-05-06,1
2013-01-31,1
2014-03-06,1
2013-04-18,1
2013-06-07,1
2013-01-23,1
2013-01-22,1
2013-08-01,1
2014-05-30,1
2013-01-15,1
2013-09-18,1
2013-03-21,1
2014-02-27,1
2013-04-25,1
2013-11-19,1
2013-02-26,1
2013-01-22,1
2013-05-15,1
2013-03-19,1
2013-10-30,1
2013-05-13,1
2015-05-01,1
2015-06-16,1
2016-04-29,1
2015-02-12,1
2015-02-10,1
2016-05-25,1
2015-06-25,1
2016-01-28,1
2015-05-12,1
2015-03-11,1
2016-06-13,1
2016-05-13,1
2015-02-12,1
2016-01-07,1
2015-07-09,1
2015-11-05,1
2015-01-13,1
2015-07-29,1
2015-10-08,1
2015-07-29,1
2016-07-07,1
2015-06-11,1
2015-07-27,1
2016-04-29,1
2015-04-30,1
2015-06-09,1
2015-02-04,1
2016-02-22,1
2016-04-25,1
2015-06-03,1
2016-05-26,1
2016-02-09,1
2016-02-02,1
2015-07-29,1
2016-06-16,1
2015-01-27,1
2016-07-07,1
2015-07-15,1
2015-04-16,1
2016-03-15,1
2015-04-16,1
2016-03-16,1
2015-08-05,1
2015-06-11,1
2016-01-13,1
2015-02-04,1
2016-05-11,1
2015-06-25,1
2016-01-05,1
2015-05-21,1
2015-05-01,1
2016-09-15,1
2016-03-07,1
2015-06-04,1
2015-10-08,1
2015-03-04,1
2015-10-08,1
2015-04-14,1
2016-06-08,1
2015-04-16,1
2015-06-25,1
2016-01-12,1
2015-10-09,1
2015-04-28,1
2018-03-07,1
2018-06-21,1
2018-04-19,1
2017-04-28,1
2018-02-27,1
2017-04-06,1
2018-04-18,1
2017-03-28,1
2017-05-03,1
2018-04-10,1
2017-01-03,1
2017-06-15,1
2017-10-26,1
2018-04-16,1
2017-02-14,1
2018-09-12,1
2018-04-24,1
2018-06-13,1
2017-06-16,1
2017-05-03,1
2017-04-03,1
2018-07-26,1
2017-02-28,1
2018-03-14,1
2018-04-25,1
2017-05-11,1
2017-04-06,1
2018-04-17,1
2018-03-05,1
2017-04-05,1
2018-04-24,1
2017-07-27,1
2017-02-06,1
2017-01-04,1
2017-11-06,1
2018-06-21,1
2017-03-30,1
2017-10-31,1
2017-05-26,1
2017-11-30,1
2018-03-06,1
2018-03-19,1
2017-05-03,1
2019-05-23,1
2019-07-24,1
2020-11-30,1
2020-07-24,1
2019-06-27,1
2020-03-09,1
2020-07-22,1
2019-10-28,1
2020-02-13,1
2020-06-29,1
2019-05-01,1
2019-05-14,1
2020-07-31,1
2020-07-22,1
2019-07-09,1
2020-07-23,1
2019-10-23,1
2020-03-04,1
2019-12-17,1
2020-01-28,1
2019-08-09,1
2020-10-06,1
2019-09-24,1
2020-12-09,1
2019-05-08,1
2020-07-24,1
