,geoid,date,value
13,0633,2009-10-13,1
13,2103,2009-10-13,1
13,3408,2009-10-13,1
13,3301,2009-10-13,1
13,4207,2009-10-13,1
13,0640,2009-10-13,1
13,2704,2009-10-13,1
13,1902,2009-10-13,1
13,4402,2009-10-13,1
13,4401,2009-10-13,1
13,0651,2009-10-13,1
13,0902,2009-10-13,1
13,1903,2009-10-13,1
13,1901,2009-10-13,1
13,2607,2009-10-13,1
36,0613,2009-03-05,1
87,0613,2011-10-12,1
90,3620,2011-05-09,1
107,1902,2011-05-25,1
107,1903,2011-05-25,1
107,1901,2011-05-25,1
107,1807,2011-05-25,1
107,7800,2011-05-25,1
107,0902,2011-05-25,1
107,2704,2011-05-25,1
107,2302,2011-05-25,1
107,3410,2011-05-25,1
107,4219,2011-05-25,1
107,3704,2011-05-25,1
107,0613,2011-05-25,1
107,3610,2011-05-25,1
107,0633,2011-05-25,1
141,0613,2013-01-18,1
141,3903,2013-01-18,1
141,4103,2013-01-18,1
141,6600,2013-01-18,1
141,0626,2013-01-18,1
141,4217,2013-01-18,1
141,0627,2013-01-18,1
141,3609,2013-01-18,1
141,4709,2013-01-18,1
141,5111,2013-01-18,1
141,2613,2013-01-18,1
141,2705,2013-01-18,1
141,1712,2013-01-18,1
141,0905,2013-01-18,1
141,1502,2013-01-18,1
141,1209,2013-01-18,1
141,0403,2013-01-18,1
141,3626,2013-01-18,1
141,4815,2013-01-18,1
141,3412,2013-01-18,1
141,4818,2013-01-18,1
141,4830,2013-01-18,1
141,1304,2013-01-18,1
141,3909,2013-01-18,1
141,1305,2013-01-18,1
141,1703,2013-01-18,1
141,1902,2013-01-18,1
141,0647,2013-01-18,1
141,2704,2013-01-18,1
141,2502,2013-01-18,1
141,2302,2013-01-18,1
141,2501,2013-01-18,1
141,0635,2013-01-18,1
141,4816,2013-01-18,1
141,3410,2013-01-18,1
141,1705,2013-01-18,1
141,3613,2013-01-18,1
141,0640,2013-01-18,1
